Front,Back
What does the "authentic" rule of evidence mean?,The evidence must be real and appropriately related to the incident. [cite: 321]
What are the three main phases of the digital evidence lifecycle?,Acquisition analysis and presentation. [cite: 341-345]
What is the "acquisition" process in forensics?,Obtaining a forensically sound image of the evidence physically or remotely. [cite: 348]
Why should analysis be performed on a forensic image rather than the original evidence?,To preserve the original evidence without alteration. [cite: 357]
What is "inculpatory evidence"?,Evidence that supports a hypothesis. [cite: 365]
What is "exculpatory evidence"?,Evidence that contradicts a hypothesis. [cite: 366]
What is the primary objective of a forensic report?,To present findings in a clear and understandable way for non-technical readers like juries. [cite: 381-382]
What are the seven major categories of digital forensics?,Computer mobile network database memory cloud and IoT forensics. [cite: 395-401]
Define "Forensic Readiness".,The ability of an organization to maximize its potential to use digital evidence while minimizing investigation costs. [cite: 450]
What is the first step in forensics readiness planning?,Identify the potential evidence required for an incident. [cite: 463]
What is a "forensic image"?,A bit-by-bit copy of a storage device including all files and deleted data. [cite: 530]
Name two common forensic image formats.,"Disk dump (.dd) and Encase (.E01)." [cite: 531]
What is used to maintain the integrity of a forensic image?,Hashing algorithms. [cite: 537]
Which hashing algorithms are commonly used in digital forensics?,"MD5, SHA1, or SHA256." [cite: 537]
What are the three major categories of digital forensic challenges?,"Technical, legal, and resource challenges." [cite: 560-562]
What is a "Technical Challenge" in forensics?,Differing media formats encryption steganography or anti-forensics. [cite: 560]
What is "Anti-Digital Forensics (ADF)"?,Techniques used by attackers to hide evidence via encryption or data hiding. [cite: 575]
What does the Fourth Amendment of the U.S. Constitution protect against?,Unreasonable searches and seizures without a warrant. [cite: 607]
What is a "Covert Channel"?,A communication protocol that allows an attacker to bypass detection and hide data over a network. [cite: 615]
What are the responsibilities of a digital forensic examiner?,Gather evidence reconstruct damaged disks analyze data and prepare reports. [cite: 646-652]
What is a "digital footprint"?,Information about a person on a system such as visited webpages and device activity. [cite: 694]
What is a "Public Investigation"?,An investigation involving law enforcement conducted according to country or state laws. [cite: 707]
What is a "Private Investigation"?,Investigations conducted by enterprises for policy violations or industrial espionage. [cite: 719]
What is the main difference between civil and criminal law penalty?,Civil law usually involves paying for losses while criminal law can involve incarceration or fines to the government. [cite: 752-758]
How does digital forensics differ from computer security?,Security focuses on protection while forensics explains how security policies were violated. [cite: 769]
What is the focus of "e-discovery"?,Searching large digital data sets for evidence for corporate private investigations. [cite: 780]
How does "digital forensics" differ from "computer forensics"?,Digital forensics includes all digital assets (phones/servers) while computer forensics focuses only on computers. [cite: 790-795]
What are the phases of the Attack Lifecycle?,Initial recon initial compromise establish foothold escalate privileges internal recon lateral movement maintain presence and complete mission. [cite: 822-844]
Define "Incident Response".,A coordinated and structured approach to identify contain and eliminate cyber attacks. [cite: 850-852]
What is the goal of the "CIRT" team?,Identifying how a breach occurred locating the method and mitigating the breach. [cite: 862]
What does "SOC" stand for?,Security Operations Center. [cite: 947]
What is a "SOAR" system?,"Security Orchestration, Automation, and Response." [cite: 981]
What is "Forensic Triage"?,The process of assembling and prioritizing digital evidence at a crime scene. [cite: 993]
What are the three areas of the "Investigations Triad"?,"Vulnerability assessment/risk management, network intrusion detection/incident response, and digital investigations." [cite: 1018-1022]
What is the role of a "First Responder"?,To conduct the initial investigation and preserve digital evidence for the lab. [cite: 1051-1052]
What is a "Subpoena"?,A court order allowing investigators to search and seize devices when consent is not given. [cite: 1070]
What is the most powerful method for search and seizure?,A search warrant. [cite: 1075]
What should a forensic investigator do with a powered-on computer?,Do not turn it off and do not use it to avoid altering memory. [cite: 1081]
What happens to data in RAM when power is removed?,It is lost. [cite: 1083]
What is the first thing to check on a powered-off computer?,Check the monitor to ensure it is truly off. [cite: 1084]
What should be documented during evidence transport?,The person who transported it and the location of storage to maintain the chain of custody. [cite: 1092]
What is the "Chain of Custody"?,A record of all individuals involved in handling evidence from the start of an investigation until its end. [cite: 1092]
What is an "abstraction layer" in forensics?,A tool that translates raw bits into structure readable by humans. [cite: 1113]
Why is it important to understand the rule set of an abstraction layer?,To ensure the tool interprets raw data correctly and to avoid translation errors. [cite: 1115]
What is a "magic number" in a file?,A file header used to identify the true file type regardless of its extension. [cite: 1139]
Define "Cloning" in a forensic context?,Creating an exact bit-for-bit copy of a hard drive. [cite: 1146]
Why isn't "Copy and Paste" used in forensics?,It only gets active data and misses unallocated space and file system data. [cite: 1149-1152]
What is a "write blocker"?,A device that prevents any data from being written to the source drive during cloning. [cite: 1159]
What is a "hash value"?,A unique alpha-numeric digital fingerprint of a set of data. [cite: 1167]
What happens to a hash value if a single bit of data is changed?,It becomes radically different. [cite: 1167]
What is a "Bit" (Binary Digit)?,The smallest unit of data in computing holding a value of 0 or 1. [cite: 1190]
How many bits are in a "Byte"?,8 bits. [cite: 1190]
What is the difference between a Kilobyte and a Kilobit?,A Kilobyte is 1024 bytes while a Kilobit is 1024 bits. [cite: 1196-1197]
What is "Hexadecimal"?,A number system with 16 symbols used to express data. [cite: 1205-1206]
How many binary digits correspond to one hex digit?,4 binary digits. [cite: 1208]
What is "ASCII"?,A system used to represent characters and symbols in numerical form. [cite: 1213]
What are the four layers of analysis according to Brian Carrier?,"Physical media, volume, file system, and application/OS." [cite: 1220]
What technology do Hard Disk Drives (HDDs) use to store data?,Magnetic storage. [cite: 1224]
What is "low-level formatting"?,The process of dividing a disk surface into tracks sectors and cylinders. [cite: 1229]
What is the smallest addressable unit (block) in a disk?,A sector. [cite: 1231]
What is "high-level formatting"?,The creation of a file system on a disk so an OS can store and access files. [cite: 1233-1234]
What is a "partition"?,A logical storage unit or section on a physical disk drive. [cite: 1242]
What is the main purpose of partitioning?,To treat one physical disk drive as multiple disks. [cite: 1244]
How many primary partitions can an HDD have?,Up to four. [cite: 1246]
What is an "extended partition"?,A partition that can be subdivided into logical partitions to exceed the 4-partition limit. [cite: 1246-1247]
What is the standard logical sector size for most HDDs?,512 bytes. [cite: 1255]
What does "CHS" addressing stand for?,"Cylinder-Head-Sector." [cite: 1267]
Why do CHS sectors start at 1 instead of 0?,Because it is based on physical geometric addressing. [cite: 1270]
What does "LBA" addressing stand for?,"Logical Block Address." [cite: 1278]
Why did LBA replace CHS?,To overcome the capacity limitations of CHS addressing. [cite: 1278]
Which HDD interface transfers data one bit at a time?,"SATA (Serial ATA)." [cite: 1295]
Which HDD interface is most commonly used in servers?,"SCSI (Small Computer System Interface)." [cite: 1298]
What is "BIOS"?,Firmware that initializes hardware and prepares the system to boot an OS. [cite: 1309-1310]
What is the "Master Boot Record" (MBR)?,A 512-byte block containing the boot loader code and partition table. [cite: 1314]
What is a major limitation of MBR?,It only supports a 2TB disk capacity limit and 4 primary partitions. [cite: 1448]
What modern system replaced BIOS?,"UEFI (Unified Extensible Firmware Interface)." [cite: 1323]
What is "GPT"?,GUID Partition Table a modern partitioning scheme replacing MBR. [cite: 1449]
How many primary partitions does GPT support?,Up to 128. [cite: 1451]
What is a "Protective MBR" in GPT?,A structure that prevents legacy tools from corrupting a GPT disk. [cite: 1462]
What technology do Solid State Drives (SSDs) use to store data?,Electronic chips (NAND flash memory). [cite: 1329-1330]
What is the smallest readable or writable unit on an SSD?,A page. [cite: 1339]
What is the standard SSD page size?,4KB. [cite: 1340]
What is the smallest structure that can be erased on an SSD?,A block. [cite: 1349]
What is "wear-leveling"?,A technique that spreads data equally across cells to extend SSD life. [cite: 1355-1357]
What is the "TRIM" command?,An SSD feature that erases deleted files instantly to free up space. [cite: 1405]
Why do hash values of an SSD sometimes change during imaging?,Due to background processes like wear leveling or TRIM occurring while powered. [cite: 1384]
What is "Garbage Collection" on an SSD?,The process of relocating valid data and erasing invalid blocks in the background. [cite: 1374]
Why should you avoid normal shutdown on an SSD computer?,It may trigger TRIM or wear leveling which erases potential evidence. [cite: 1389]
What is "Slack Space"?,Unused space at the end of a file cluster that can contain recoverable data remnants. [cite: 1514]
What is a "Lost Cluster"?,Unallocated clusters with data but no associated file. [cite: 1515]
What is "Areal Density"?,The number of bits per square inch on a disk platter. [cite: 1521]
Where is data stored temporarily when RAM runs out?,"Page file (or swap space) on the hard drive." [cite: 1532]
What is the forensic importance of a page file?,It can store fragments of data that no longer exist anywhere else on the system. [cite: 1536-1537]
What is "eMMC"?,Embedded MultiMediaCard budget nonvolatile storage soldered to motherboards. [cite: 1539-1543]
Give an example of optical data storage.,"CD-ROM, DVD, or Blu-ray." [cite: 1546]
What is "steganography"?,The practice of hiding information within other non-secret data. [cite: 615]
What are "metadata fields"?,Attributes like file owner last access time and modification time. [cite: 196]
What is "ZBR" (Zone Bit Recording)?,A method to ensure consistent data storage across varying track sizes. [cite: 1519]
What is the "Investigations Triad" definition?,A combination of three groups ensuring all aspects of a digital investigation are addressed. [cite: 1013]
What is "Physical Media" analysis?,The first layer of Brian Carrier's analysis involving the actual storage hardware. [cite: 1220]
What is a "Bit Stream Image"?,Another term for a forensic clone. [cite: 1147]
What does "VBR" stand for?,"Volume Boot Record." [cite: 1428]
How does a VBR differ from an MBR?,The MBR is at the beginning of the drive while the VBR is at the start of a partition. [cite: 1429]
What is "protective MBR" hex identifier?,0xEE. [cite: 1463]
What is "HPA" (Host Protected Area)?,A hidden area on a disk invisible to the OS used for vendor diagnostics or recovery. [cite: 1495-1501]
What is "DCO" (Device Configuration Overlay)?,A hidden area at the disk's end that allows manufacturers to modify drive features. [cite: 1502]
Name a basic tool used to detect HPA.,"Linux hdparm command or TSK (The Sleuth Kit)." [cite: 1506]
What is a "Disk Editor"?,A tool like WinHex that allows analysis of disks at the bit and byte level. [cite: 1507]
Why is "Time" critical in a forensic timeline?,It helps understand the sequence of events leading to a compromise. [cite: 1096]
What should you never do to a system clock during investigation?,Do not alter it to preserve evidence integrity. [cite: 1097]
What is "short stroking"?,A technique to reduce seek times and improve performance in partitions. [cite: 1482]
What is "volume slack"?,Unformatted areas in a volume that remain inaccessible to the OS. [cite: 1488]
What is "Live Acquisition"?,Conducting a data dump (like RAM) while the system is powered on. [cite: 1390]
What is "Self-Corrosion" in SSDs?,Background garbage collection erasing data marked for deletion permanently. [cite: 1385]
What is an "EFI Signature" in GPT?,The string "EFI PART" found in the GPT header. [cite: 1465]
Define "Data Lookup" in hashing.,Using hash tables to enable rapid data access. [cite: 1178]
What is "probative value"?,The quality of evidence that helps prove or disprove a fact. [cite: 144]
What is "circumstantial evidence"?,Evidence that relies on an inference to connect it to a conclusion. [cite: 146]
What does "P/E Cycle" stand for?,"Program and Erase cycle in flash storage." [cite: 1358]
What is "MLC NAND"?,Multi-Level Cell flash memory common in modern SSDs. [cite: 1330]
What is "LBA address #0" in CHS terms?,(0 0 1). [cite: 1279]
What is "jumper" configuration in PATA?,Physical settings required to designate a drive as master or slave. [cite: 1289]
What is a "Hex signature"?,A specific byte sequence at the start of a file to identify its type. [cite: 1132]
What is "EEPROM"?,Electrically Erasable Programmable Read-Only Memory used to store BIOS. [cite: 1302]
What is "POST"?,Power-On Self-Test performed by BIOS during boot. [cite: 1308]
What is "Kernel"?,The core part of an OS loaded into memory by the boot loader. [cite: 1308]
Define "Cylinder" in HDD geometry.,The set of all tracks that the heads are currently located at. [cite: 1229]
What is "Track Density"?,The space between tracks on a platter. [cite: 1520]
What is "Cylinder Skew"?,A technique to offset starting sectors to reduce lag between tracks. [cite: 1522]
What is the "EFI partition"?,The system partition where the UEFI bootloader is located. [cite: 1456]
What is "NSLR" in hash sets?,National Software Reference Library used to eliminate known system files. [cite: 1182]
What is a "GUID"?,Globally Unique Identifier used in GPT to label disks. [cite: 1465]
What is "WinHex"?,A widely used disk editor for digital forensics. [cite: 1508]
What is the "TRIM command" impact on recovery?,It makes forensic recovery of deleted data nearly impossible. [cite: 1402]
What is "Primary Partition" boot role?,It typically holds the operating system booting files. [cite: 1247]
What is a "logical drive"?,A simulated drive created within an extended partition. [cite: 1478]
What is "fragmentation"?,The condition of a file being broken into non-contiguous pieces on a disk. [cite: 1483]
What is "Data exfiltration"?,The unauthorized transfer of data from a computer. [cite: 732]
What is "industrial espionage"?,The leaking of enterprise secrets to competitors. [cite: 719]
What is "misdemeanor"?,A crime class resulting in less than one year of incarceration. [cite: 761]
What is "felony"?,A crime class resulting in more than one year of incarceration. [cite: 762]
What is "Network Forensics"?,The analysis of network traffic and intrusion detection. [cite: 397]
What is "Database Forensics"?,The study of database tampering and transaction logs. [cite: 398]
What is "Cloud Forensics"?,Investigation of cloud storage and SaaS analysis. [cite: 400]
What is "IoT Forensics"?,The investigation of smart devices and embedded systems. [cite: 401]
What is "Identification" in forensics?,Recognizing and documenting potential digital evidence. [cite: 386]
What is "Preservation" in forensics?,Maintaining evidence integrity throughout the investigation. [cite: 387]
What is "Reporting" in forensics?,Compiling analysis conclusions into a clear document. [cite: 549]
What is "Seizure" in forensics?,The legal act of taking possession of digital media for investigation. [cite: 525]
What is "Hashing" in forensics?,Generating a value to uniquely represent evidence contents for integrity. [cite: 536]
What is "Scientific Methodology"?,Evidence-based investigation with reproducible results. [cite: 53-57]
What is "Chain of Custody Maintenance"?,Ensuring evidence is tracked and untampered from scene to court. [cite: 56]
What is "Legal Admissibility"?,The quality of evidence being acceptable in a court of law. [cite: 55]
What is "Digital Forensic Examiner"?,A role responsible for uncovering hidden data and testifying in court. [cite: 643-653]
What is "Ethics" in forensics?,Performing tasks with diligence honesty and according to law. [cite: 678-682]
What is a "Conflict of Interest"?,Actions that compromise the neutrality of a forensic examiner. [cite: 688]
What is "Initial Reconnaissance"?,An attacker researching a target to identify vulnerabilities. [cite: 822]
What is "Spear Phishing"?,A common social engineering method used for initial compromise. [cite: 827]
What is a "Backdoor"?,A persistent access point installed by an attacker to maintain control. [cite: 832]
What is "Lateral Movement"?,An attacker moving from one system to another within a network. [cite: 840]
What is "Password Hash Dumping"?,A technique used by attackers to escalate privileges. [cite: 834]
What is "Exabeam"?,An example of an incident response tool. [cite: 988]
What is "SolarWinds"?,A tool used for security event management. [cite: 983]
What is "FTK Imager"?,A tool used for imaging digital evidence. [cite: 1390]
What is "Autopsy"?,A software tool used for forensic analysis. [cite: 1397]
What is "Axiom"?,A digital forensics tool for analyzing evidence. [cite: 1397]
What is "Cyber Check"?,A forensics tool mentioned for analysis. [cite: 1397]
What is "Belkasoft"?,A tool used for evidence gathering and analysis. [cite: 1397]
What is "PC-3000"?,A hardware-software solution for recovering data from flash storage. [cite: 1398]
What is "Atola Disk Sense"?,A hardware imaging device for forensically sound images. [cite: 1395]
What is "DEFT"?,Digital Evidence & Forensic Toolkit mentioned for live booting. [cite: 1392]
What is "CAINE"?,Computer Aided Investigative Environment for forensics. [cite: 1390]
What is "MD5"?,Message Digest 5 a 128-bit hashing algorithm. [cite: 1174]
What is "SHA1"?,Secure Hashing Algorithm producing a 160-bit value. [cite: 1176]
What is "2TB" in MBR terms?,The maximum addressable disk capacity limit. [cite: 1448]
What is "128-bit" hash?,The length of an MD5 hash value. [cite: 1174]
What is "160-bit" hash?,The length of a SHA1 hash value. [cite: 1177]
What is "446 bytes" in MBR?,The size of the boot loader code area. [cite: 1315]
What is "64 bytes" in MBR?,The size of the partition table. [cite: 1432]
What is "512 bytes" in MBR?,The total size of a standard Master Boot Record sector. [cite: 1314]
What is "BF8" in binary?,101111111000. [cite: 1210]
What is "FOOD" in binary?,1111000000001101. [cite: 1212]
What is "0xEE"?,The hex partition type for a protective MBR. [cite: 1463]
What is "24 logical partitions"?,The subdivision limit for an extended partition in MBR. [cite: 1247]
What is "4KB"?,The standard size of a page in modern SSDs. [cite: 1340]
What is "512KB"?,The total size of a block containing 128 pages on an SSD. [cite: 1347]
What is "10000 to 100000"?,The typical read/write limit for SSD memory cells. [cite: 1364]
What is "1956"?,The year hard disks were first introduced by IBM. [cite: 1225]
What is "1980s"?,The era when the first computer crimes emerged. [cite: 73]
What is "1990s"?,The era when formal digital forensics procedures were developed. [cite: 74]
What is "2000s"?,The era of mobile and network forensics growth. [cite: 75]
What is "2010s-Present"?,The era of Cloud IoT and AI-based forensics. [cite: 76]
What is "LBA Address #1"?,The location of the GPT header. [cite: 1464]
What is "LBA Address #0"?,The location of the Protective MBR in a GPT disk. [cite: 1460]
What is "NSIT"?,The publisher of the SHA-1 standard. [cite: 1176]
What is "NAND"?,The type of flash memory used in most SSDs. [cite: 1330]
What is "Volatile storage"?,Main memory or RAM. [cite: 299]
What is "Thumb Drive"?,A source of potential text and image evidence. [cite: 299]
What is "Answering Machine" evidence?,Voice recordings and last called numbers. [cite: 299]
What is "Dongle" evidence?,Recognition of authenticating information within the device. [cite: 299]
What is "Credit Card Skimmer" evidence?,Card expiration dates numbers and user names. [cite: 306]
What is "GPS" evidence?,Previous destinations way points and routes. [cite: 306]
What is "Fax Machine" evidence?,Send/receive logs and film cartridges. [cite: 306]
What is "Digital Watch" evidence?,Address books and email found on wearables. [cite: 306]
What is "Copier" evidence?,User usage logs and time stamps. [cite: 306]
What is "Smart Card" evidence?,Levels of access and permissions stored in the card. [cite: 299]
What is "Network Cable" evidence?,Potential physical data found on connectors. [cite: 302]
What is "NIC" evidence?,The MAC (Media Access Control) address. [cite: 302]
What is "Router" evidence?,Configuration files. [cite: 302]
What is "Cloud storage sensors"?,Evidence sources for IoT and wearables. [cite: 302]
What is "Usage logs"?,Forensic artifacts found in printers. [cite: 302]
What is "Handheld device" evidence?,Handwriting passwords and phone books. [cite: 302]
What is "Memory card" evidence?,Internet browsing history and chat logs. [cite: 299]
What is "Magnetic fields" impact?,A source of destruction for digital evidence. [cite: 622]
What is "Moisture" impact?,A environmental factor that can destroy media devices. [cite: 622]
What is "Renaming files"?,A challenge in acquiring evidence where DOCX is changed to DLL. [cite: 622]
What is "Wiping hard drive"?,An attempt to destroy evidence using software techniques. [cite: 622]
What is "Disabling logging"?,A suspect action to hide system or application activities. [cite: 622]
What is "Physically damaged media"?,A challenge where files cannot be retrieved until repair. [cite: 622]
What is "Internal Reconnaissance"?,An attacker gaining understanding of key individuals' roles. [cite: 836]
What is "VPN"?,Virtual Private Network used by attackers to maintain presence. [cite: 843]
What is "PII"?,Personally Identifiable Information a common target for theft. [cite: 844]
What is "RDP"?,Remote Desktop Protocol used for lateral movement. [cite: 841]
What is "VNC"?,Virtual Network Computing for interacting with target systems. [cite: 841]
What is "PsExec"?,A remote access tool used by attackers for lateral movement. [cite: 841]
What is "Task Scheduler"?,A Windows tool used by attackers to execute programs remotely. [cite: 841]
What is "Credential logging"?,A method used to obtain greater access to systems. [cite: 835]
What is "Pass-the-hash"?,An attack used to escalate privileges after password dumping. [cite: 834]
What is "Persistent backdoor"?,A foothold established immediately after compromise. [cite: 832]
What is "Web application vulnerabilities"?,Targets research during the initial recon phase. [cite: 824]
What is "Spear phishing"?,The most likely method for initial compromise. [cite: 827]
What is "Legal Advisory Board"?,A group established to guide the investigation process. [cite: 476]
What is "Incident Response Team"?,A team ready to review incidents and preserve evidence. [cite: 477]
What is "Training staff"?,A step in readiness to ensure awareness of roles in forensics. [cite: 480]
What is "Policy for secure storage"?,A step in readiness for handling potential evidence. [cite: 480]
What is "Detection of major incidents"?,The goal of targeted monitoring in forensic readiness. [cite: 480]
What is "Impact assessment"?,A post-incident activity in the IR process. [cite: 878]
What is "Eradication"?,A phase in IR where the cause of the incident is removed. [cite: 878]
What is "Recovery"?,A phase in IR where systems are restored to normal. [cite: 878]
What is "Containment"?,A phase in IR focused on stopping the spread of an attack. [cite: 878]
What is "Incident Triage"?,The process of classifying and prioritizing security incidents. [cite: 878]
What is "Threat Researchers"?,A role within the incident response team. [cite: 918]
What is "Security Analysts"?,A role within the team that analyzes IR data. [cite: 917]
What is "Stakeholders"?,Individuals involved in company-wide communications during IR. [cite: 919]
What is "Timely and effective"?,The standard for handling security incidents in CSIRT. [cite: 938]
What is "Threat Intelligence"?,The focus of CERT teams in partnership with academia. [cite: 943]
What is "Centralized facility"?,The physical or logical setup of a SOC. [cite: 948]
What is "24/7 monitoring"?,The continuous monitoring function of a SOC. [cite: 949]
What is "Disciplinary action"?,A likely outcome of unauthorized use investigations. [cite: 953]
What is "Mitigated by router"?,A likely outcome of responding to a DoS attack. [cite: 953]
What is "Public affairs statement"?,A strategy for responding to theft of customer information. [cite: 953]
What is "Harassing email"?,An incident typically not investigated by law enforcement. [cite: 958]
What is "Child pornography"?,An incident where reporting to law enforcement is legally required. [cite: 958]
What is "ISP"?,Internet Service Provider whose help may be sought in DoS cases. [cite: 958]
What is "Upstream provider"?,A party contacted to identify the source of a DoS attack. [cite: 958]
What is "Skills gap"?,A challenge in IR where talent cannot meet data volume. [cite: 975-976]
What is "Attack surface"?,The total area of software and systems exposed to threats. [cite: 977]
What is "Accurate information"?,The result of accumulating data in incident response. [cite: 965]
What is "Privacy rights"?,Legal protections that IR must uphold during evidence retrieval. [cite: 966]
What is "Education of senior management"?,A secondary goal of incident response. [cite: 968]
What is "Business disruption"?,A negative impact that IR seeks to minimize. [cite: 966]
What is "Reputation and assets"?,Key organizational elements protected by effective IR. [cite: 968]
What is "Physical evidence"?,The best form for digital evidence to be presented to a jury. [cite: 382]
What is "Physical level shift"?,How SSD cells rotate data to ensure even wear. [cite: 1362]
What is "Access failure"?,The message received when flash cells reach their limits. [cite: 1366]
What is "Firmware control"?,The internal software managing SSD wear leveling and TRIM. [cite: 1367]
What is "Dirty blocks"?,Blocks marked for erasure by the SSD controller after TRIM. [cite: 1372]
What is "Invalid data"?,Data skipped by garbage collection to save write cycles. [cite: 1370]
What is "Efficiency of SSD"?,The outcome improved by garbage collection. [cite: 1375]
What is "Initial hashing attempt"?,The first validation step in imaging an SSD. [cite: 1384]
What is "Background process"?,The mode in which garbage collection typically runs. [cite: 1385]
What is "Self-corrosion" forensic impact?,Deleted data being erased permanently without user input. [cite: 1385]
What is "Forensic Live CD"?,A tool used to boot a system with auto-mount disabled. [cite: 1392]
What is "SSD adapter"?,Hardware required to image different types of SSDs. [cite: 1393]
What is "Atola Bandura"?,A tool used for advanced HPA detection. [cite: 1506]
What is "PassMark Software"?,The developer of OS-Forensics. [cite: 1506]
What is "Active@ Undelete"?,A tool integrated with Active@ Disk Editor for recovery. [cite: 1510]
What is "Mh-Nexus"?,The developer of HxD freeware. [cite: 1511]
What is "Unicode support"?,A feature in Active@ Disk Editor for multilingual analysis. [cite: 1510]
What is "Hexadecimal notation"?,The base-16 format used for memory offsets in WinHex. [cite: 1426]
What is "Logically consequential"?,The arrangement of sectors in a volume. [cite: 1408]
What is "Physically contiguous"?,The physical sequence of sectors on a media surface. [cite: 1408]
What is "Drive letter"?,The C: or D: label assigned by Windows to a partition. [cite: 1417]
What is "Active partition"?,The partition marked as bootable in the MBR. [cite: 1428]
What is "IBM DOS"?,The standard for MBR partition table schemas. [cite: 1424]
What is "Assembly jump instructions"?,Data found in the code area of an MBR sector. [cite: 1431]
What is "EBR"?,Extended Boot Record used in logical partition chains. [cite: 1443]
What is "Checksums"?,Data validation values stored at the end of a GPT disk. [cite: 1453]
What is "128 primary partitions"?,The partition count supported by GPT. [cite: 1451]
What is "macOS"?,An OS that supports UEFI booting. [cite: 1458]
What is "Intel Atom CPU"?,Hardware often paired with eMMC storage. [cite: 1540]
What is "Soldered to motherboard"?,The physical mount style of eMMC making it non-removable. [cite: 1543]
What is "Limited capacity"?,A characteristic of eMMC typically 32GB to 128GB. [cite: 1544]
What is "Optically readable"?,The data access method for CDs and DVDs. [cite: 1545]
What is "TFN DDoS"?,A popular type of Distributed Denial of Service attack. [cite: 953]
What is "Vandalism"?,The defacing of a website as a security incident. [cite: 953]
What is "Industrial espionage"?,Fraud or data exfiltration within a workplace. [cite: 732]
What is "Internal Investigation"?,A study of policy violations or harassment in a company. [cite: 732]
What is "Civil Investigation"?,A case involving network safety copyrights or asset protection. [cite: 740]
What is "Background in law"?,A preferred trait for civil forensic investigators. [cite: 741]
What is "Plaintiff"?,The party who files a civil lawsuit. [cite: 752]
What is "Defendant"?,The guilty party who pays for losses in civil law. [cite: 752]
What is "Death penalty"?,A possible punishment in some criminal law jurisdictions. [cite: 759]
What is "Less than 1 year"?,The incarceration limit for a misdemeanor. [cite: 761]
What is "1+ year"?,The sentence duration characterizing a felony. [cite: 762]
What is "Reactive function"?,The nature of cyber forensics focusing on things that occurred. [cite: 798]
What is "Probative information"?,Data found in storage monitoring traffic or duplicate copies. [cite: 144-145]
What is "Chain of custody lapse"?,A failure that makes evidence inadmissible in court. [cite: 1093]
What is "Isolated host"?,A secure environment required for analyzing backups. [cite: 1099]
What is "Repeatable result"?,A requirement for all forensic actions on backups. [cite: 1099]
What is "Root cause"?,The primary goal of many first responder investigations. [cite: 1064]
What is "Probable cause"?,The legal requirement for obtaining a search warrant. [cite: 1066]
What is "Consent to Search"?,Voluntary cooperation allowing evidence seizure without a warrant. [cite: 1068]
What is "Electronic Storage Device Search Warrant"?,A warrant specifically for computers USBs or CDs. [cite: 1078]
What is "Service Provider Search Warrant"?,A warrant for data from ISPs or cloud providers. [cite: 1079]
What is "Tampering in storage"?,Evidence of system changes with the aim of deception. [cite: 367]
What is "Zatyko 2007"?,The citation for the definition of digital forensics. [cite: 69]
